Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,CJ McCollum,28.0,POR,SG,70.0,70.0,2556.0,0.451,15.5,0.622,0.172,0.161,0.15,0.139,0.378,0.494,0.597,0.381,0.49,0.503,0.379,0.223,0.665,0.004,3.0,0.146,0.547,0.0,0.0,
2.0,Devin Booker,23.0,PHO,SG,70.0,70.0,2512.0,0.489,14.1,0.69,0.228,0.136,0.213,0.112,0.31,0.549,0.72,0.463,0.487,0.424,0.354,0.416,0.61,0.017,22.0,0.09,0.361,0.0,0.0,AS
3.0,James Harden,30.0,HOU,SG,68.0,68.0,2483.0,0.444,16.6,0.443,0.243,0.177,0.018,0.005,0.557,0.556,0.668,0.414,0.444,0.5,0.355,0.139,0.171,0.015,20.0,0.045,0.342,1.0,0.0,"MVP-3,AS,NBA1"
4.0,Harrison Barnes,27.0,SAC,PF,72.0,72.0,2482.0,0.46,11.8,0.662,0.294,0.285,0.058,0.025,0.338,0.501,0.691,0.363,0.304,0.3,0.381,0.525,0.873,0.043,31.0,0.336,0.356,1.0,1.0,
5.0,Damian Lillard,29.0,POR,PG,66.0,66.0,2474.0,0.463,16.8,0.5,0.295,0.079,0.062,0.064,0.5,0.524,0.618,0.311,0.405,0.471,0.401,0.099,0.289,0.014,16.0,0.036,0.417,3.0,0.0,"MVP-8,AS,NBA2"
6.0,Tobias Harris,27.0,PHI,PF,72.0,72.0,2469.0,0.471,13.2,0.696,0.229,0.214,0.157,0.095,0.304,0.517,0.662,0.482,0.467,0.33,0.367,0.479,0.863,0.049,52.0,0.19,0.441,0.0,0.0,
7.0,P.J. Tucker,34.0,HOU,PF,72.0,72.0,2467.0,0.415,18.4,0.298,0.148,0.089,0.035,0.026,0.702,0.551,0.619,0.474,0.467,0.545,0.358,0.729,0.991,0.0,0.0,0.766,0.384,0.0,0.0,
8.0,Shai Gilgeous-Alexander,21.0,OKC,SG,70.0,70.0,2428.0,0.471,11.4,0.753,0.286,0.263,0.136,0.068,0.247,0.512,0.617,0.404,0.5,0.507,0.347,0.235,0.54,0.019,19.0,0.127,0.438,0.0,0.0,
9.0,Bam Adebayo,22.0,MIA,PF,72.0,72.0,2417.0,0.557,5.8,0.982,0.481,0.301,0.144,0.056,0.018,0.564,0.726,0.445,0.404,0.227,0.143,0.715,0.5,0.219,157.0,0.571,0.125,1.0,0.0,"DPOY-5,AS,DEF2"
10.0,Donovan Mitchell,23.0,UTA,SG,69.0,69.0,2364.0,0.449,14.8,0.648,0.169,0.229,0.134,0.115,0.352,0.494,0.626,0.414,0.489,0.465,0.366,0.217,0.595,0.025,26.0,0.127,0.4,5.0,0.0,AS
11.0,Nikola Jokić,24.0,DEN,C,73.0,73.0,2336.0,0.528,12.0,0.762,0.237,0.275,0.143,0.107,0.238,0.594,0.724,0.599,0.49,0.435,0.314,0.511,0.85,0.014,15.0,0.039,0.5,4.0,0.0,"MVP-9,AS,NBA2"
12.0,Rudy Gobert,27.0,UTA,C,68.0,68.0,2333.0,0.693,2.1,1.0,0.837,0.158,0.005,0.0,0.0,0.693,0.755,0.386,0.0,,,0.749,,0.425,221.0,,,0.0,0.0,"DPOY-3,AS,NBA3,DEF1"
13.0,DeMar DeRozan,30.0,SAS,SF,68.0,68.0,2316.0,0.531,9.9,0.967,0.266,0.248,0.263,0.19,0.033,0.54,0.731,0.488,0.475,0.432,0.257,0.27,0.889,0.03,30.0,0.286,0.4,2.0,0.0,
14.0,LeBron James,35.0,LAL,PG,67.0,67.0,2316.0,0.493,12.9,0.674,0.365,0.139,0.073,0.097,0.326,0.564,0.727,0.409,0.337,0.341,0.348,0.234,0.473,0.062,79.0,0.061,0.5,1.0,0.0,"MVP-2,AS,NBA1"
15.0,Jayson Tatum,21.0,BOS,PF,66.0,66.0,2265.0,0.45,14.4,0.617,0.248,0.155,0.126,0.089,0.383,0.48,0.618,0.374,0.396,0.394,0.403,0.433,0.545,0.05,56.0,0.171,0.413,3.0,0.0,"MVP-12,AS,NBA3"
16.0,Buddy Hield,27.0,SAC,SG,72.0,44.0,2216.0,0.429,19.1,0.408,0.13,0.078,0.082,0.118,0.592,0.479,0.675,0.352,0.4,0.401,0.394,0.396,0.723,0.015,16.0,0.172,0.483,0.0,0.0,
17.0,Devonte' Graham,24.0,CHO,PG,63.0,53.0,2211.0,0.382,19.4,0.393,0.132,0.11,0.074,0.077,0.607,0.397,0.543,0.274,0.352,0.365,0.373,0.307,0.546,0.004,4.0,0.063,0.432,3.0,0.0,
18.0,Chris Paul,34.0,OKC,PG,70.0,70.0,2208.0,0.489,17.1,0.657,0.069,0.122,0.303,0.163,0.343,0.554,0.852,0.509,0.517,0.531,0.365,0.124,0.324,0.0,0.0,0.102,0.355,11.0,0.0,"MVP-7,AS,NBA2"
19.0,T.J. Warren,26.0,IND,SF,67.0,67.0,2202.0,0.536,12.0,0.773,0.275,0.171,0.216,0.112,0.227,0.575,0.759,0.465,0.488,0.455,0.403,0.609,0.901,0.037,37.0,0.412,0.419,0.0,0.0,
20.0,Duncan Robinson,25.0,MIA,SG,73.0,68.0,2166.0,0.47,23.2,0.118,0.066,0.029,0.009,0.015,0.882,0.654,0.844,0.6,0.167,0.2,0.446,0.83,0.963,0.006,2.0,0.234,0.493,1.0,0.0,
21.0,Terry Rozier,25.0,CHO,PG,63.0,63.0,2164.0,0.423,15.6,0.55,0.221,0.149,0.103,0.078,0.45,0.436,0.553,0.343,0.361,0.384,0.407,0.319,0.808,0.009,6.0,0.187,0.405,0.0,0.0,
22.0,Domantas Sabonis,23.0,IND,PF,62.0,62.0,2159.0,0.54,7.2,0.921,0.511,0.225,0.047,0.138,0.079,0.565,0.686,0.382,0.35,0.487,0.254,0.651,1.0,0.064,51.0,0.09,0.167,0.0,0.0,AS
23.0,Collin Sexton,21.0,CLE,PG,65.0,65.0,2143.0,0.472,11.1,0.765,0.33,0.215,0.153,0.068,0.235,0.501,0.615,0.391,0.446,0.419,0.38,0.293,0.742,0.024,23.0,0.11,0.536,0.0,0.0,
24.0,Joe Ingles,32.0,UTA,PF,72.0,45.0,2137.0,0.445,18.3,0.362,0.13,0.156,0.056,0.02,0.638,0.525,0.736,0.384,0.484,0.364,0.399,0.371,0.652,0.004,2.0,0.21,0.365,1.0,0.0,
25.0,Robert Covington,29.0,2TM,C,70.0,68.0,2137.0,0.422,19.0,0.336,0.217,0.087,0.012,0.019,0.664,0.593,0.675,0.429,0.444,0.5,0.335,0.771,0.925,0.017,11.0,0.131,0.365,4.0,0.0,
25.0,Robert Covington,29.0,MIN,PF,48.0,47.0,1411.0,0.435,18.2,0.371,0.232,0.097,0.018,0.024,0.629,0.587,0.661,0.479,0.444,0.417,0.346,0.769,0.889,0.016,7.0,0.093,0.379,3.0,0.0,
25.0,Robert Covington,29.0,HOU,C,22.0,21.0,726.0,0.392,19.8,0.26,0.185,0.066,0.0,0.009,0.74,0.61,0.714,0.267,,1.0,0.315,0.778,1.0,0.018,4.0,0.202,0.353,1.0,0.0,
26.0,Anthony Davis,26.0,LAL,PF,62.0,62.0,2131.0,0.503,11.1,0.801,0.343,0.172,0.155,0.13,0.199,0.546,0.758,0.413,0.412,0.322,0.33,0.578,0.986,0.157,157.0,0.17,0.432,3.0,0.0,"MVP-6,DPOY-2,AS,NBA1,DEF1"
27.0,Joe Harris,28.0,BRK,SF,69.0,69.0,2123.0,0.486,15.5,0.482,0.29,0.111,0.029,0.052,0.518,0.553,0.652,0.356,0.478,0.463,0.424,0.766,0.959,0.003,2.0,0.17,0.507,0.0,0.0,
28.0,Dorian Finney-Smith,26.0,DAL,PF,71.0,68.0,2120.0,0.466,15.5,0.42,0.326,0.069,0.006,0.019,0.58,0.589,0.659,0.361,0.333,0.3,0.376,0.636,0.965,0.126,57.0,0.492,0.436,0.0,0.0,
29.0,Trae Young,21.0,ATL,PG,60.0,60.0,2120.0,0.437,16.8,0.545,0.183,0.167,0.146,0.05,0.455,0.501,0.596,0.452,0.467,0.413,0.361,0.161,0.298,0.0,0.0,0.033,0.579,1.0,1.0,AS
30.0,Jrue Holiday,29.0,NOP,SG,61.0,61.0,2117.0,0.455,12.1,0.656,0.337,0.214,0.07,0.036,0.344,0.509,0.628,0.372,0.486,0.25,0.353,0.31,0.574,0.026,22.0,0.147,0.431,2.0,0.0,
31.0,Dillon Brooks,24.0,MEM,SG,73.0,73.0,2112.0,0.407,15.6,0.615,0.169,0.155,0.174,0.117,0.385,0.438,0.528,0.38,0.435,0.392,0.358,0.535,0.891,0.013,11.0,0.107,0.386,1.0,0.0,
32.0,Pascal Siakam,25.0,TOR,PF,60.0,60.0,2110.0,0.453,12.7,0.669,0.277,0.235,0.074,0.083,0.331,0.499,0.703,0.382,0.329,0.304,0.359,0.423,0.664,0.039,41.0,0.222,0.383,0.0,0.0,"MVP-10,AS,NBA2"
33.0,Brandon Ingram,22.0,NOP,PF,62.0,62.0,2104.0,0.463,14.2,0.65,0.248,0.128,0.167,0.107,0.35,0.501,0.654,0.371,0.421,0.427,0.391,0.317,0.887,0.058,56.0,0.26,0.44,2.0,0.0,"MIP-1,AS"
34.0,Kyle Lowry,33.0,TOR,PG,58.0,58.0,2098.0,0.416,18.2,0.42,0.213,0.093,0.044,0.07,0.58,0.504,0.643,0.347,0.4,0.357,0.352,0.235,0.543,0.0,0.0,0.088,0.317,5.0,0.0,AS
35.0,Tim Hardaway Jr.,27.0,DAL,SG,71.0,58.0,2091.0,0.434,18.6,0.42,0.131,0.11,0.08,0.098,0.58,0.485,0.612,0.351,0.507,0.448,0.398,0.517,0.838,0.023,17.0,0.24,0.447,3.0,0.0,
36.0,Zach LaVine,24.0,CHI,SF,60.0,60.0,2085.0,0.45,13.9,0.596,0.374,0.083,0.048,0.093,0.404,0.497,0.623,0.182,0.228,0.405,0.38,0.406,0.549,0.077,88.0,0.167,0.481,2.0,0.0,
37.0,Bojan Bogdanović,30.0,UTA,SF,63.0,63.0,2083.0,0.447,15.4,0.511,0.195,0.207,0.08,0.029,0.489,0.479,0.698,0.361,0.333,0.259,0.414,0.507,0.857,0.029,22.0,0.282,0.473,0.0,0.0,
38.0,Julius Randle,25.0,NYK,PF,64.0,64.0,2080.0,0.46,10.5,0.77,0.358,0.235,0.097,0.081,0.23,0.515,0.631,0.424,0.439,0.358,0.277,0.404,0.938,0.056,51.0,0.169,0.385,0.0,0.0,
39.0,Evan Fournier,27.0,ORL,SF,66.0,66.0,2076.0,0.467,16.5,0.533,0.174,0.147,0.104,0.107,0.467,0.527,0.691,0.474,0.381,0.475,0.399,0.437,0.827,0.003,2.0,0.143,0.532,0.0,0.0,
40.0,Ja Morant,20.0,MEM,PG,67.0,67.0,2074.0,0.477,9.5,0.809,0.396,0.248,0.126,0.039,0.191,0.511,0.606,0.409,0.466,0.324,0.335,0.282,0.55,0.067,49.0,0.101,0.5,4.0,0.0,ROY-1
41.0,OG Anunoby,22.0,TOR,SF,69.0,68.0,2066.0,0.505,11.6,0.597,0.452,0.111,0.025,0.009,0.403,0.583,0.68,0.27,0.357,0.2,0.39,0.64,0.955,0.154,84.0,0.504,0.4,0.0,0.0,
42.0,Bradley Beal,26.0,WAS,SG,57.0,57.0,2053.0,0.455,14.7,0.631,0.239,0.141,0.135,0.115,0.369,0.515,0.689,0.397,0.438,0.387,0.353,0.376,0.635,0.035,41.0,0.119,0.316,1.0,0.0,
43.0,Royce O'Neale,26.0,UTA,SF,71.0,62.0,2049.0,0.433,18.6,0.332,0.203,0.101,0.008,0.019,0.668,0.545,0.635,0.432,0.0,0.429,0.377,0.848,1.0,0.047,14.0,0.32,0.436,4.0,0.0,
44.0,Russell Westbrook,31.0,HOU,PG,57.0,57.0,2049.0,0.472,10.1,0.834,0.415,0.142,0.13,0.148,0.166,0.514,0.64,0.363,0.404,0.402,0.258,0.235,0.655,0.041,40.0,0.192,0.22,0.0,0.0,"AS,NBA3"
45.0,Luka Dončić,20.0,DAL,PG,61.0,61.0,2047.0,0.463,14.5,0.569,0.26,0.237,0.058,0.014,0.431,0.574,0.752,0.436,0.37,0.471,0.316,0.171,0.24,0.012,14.0,0.02,0.273,9.0,0.0,"MVP-4,AS,NBA1"
46.0,Mikal Bridges,23.0,PHO,SF,73.0,32.0,2042.0,0.51,12.6,0.599,0.386,0.122,0.062,0.029,0.401,0.61,0.749,0.339,0.367,0.429,0.361,0.763,0.986,0.101,43.0,0.49,0.411,1.0,0.0,
47.0,Al Horford,33.0,PHI,C,67.0,61.0,2025.0,0.45,15.4,0.601,0.189,0.178,0.111,0.123,0.399,0.516,0.746,0.381,0.456,0.414,0.35,0.614,0.98,0.037,24.0,0.127,0.278,0.0,0.0,
48.0,Lonzo Ball,22.0,NOP,PG,63.0,54.0,2025.0,0.403,17.7,0.425,0.214,0.083,0.049,0.079,0.575,0.442,0.605,0.246,0.324,0.278,0.375,0.403,0.824,0.023,15.0,0.21,0.349,2.0,0.0,
49.0,De'Andre Hunter,22.0,ATL,SF,63.0,62.0,2018.0,0.41,15.6,0.555,0.225,0.133,0.085,0.111,0.445,0.454,0.591,0.297,0.379,0.421,0.355,0.564,0.944,0.037,19.0,0.336,0.363,1.0,0.0,
50.0,Aaron Gordon,24.0,ORL,PF,62.0,62.0,2017.0,0.437,12.9,0.691,0.326,0.126,0.15,0.089,0.309,0.494,0.704,0.361,0.348,0.162,0.308,0.5,0.89,0.124,88.0,0.177,0.333,6.0,0.0,
51.0,Ben Simmons,23.0,PHI,PG,57.0,57.0,2017.0,0.58,3.6,0.989,0.638,0.304,0.04,0.006,0.011,0.583,0.719,0.365,0.154,0.0,0.286,0.507,1.0,0.167,102.0,0.429,0.667,2.0,0.0,"DPOY-4,AS,NBA3,DEF1"
52.0,Ricky Rubio,29.0,PHO,PG,65.0,65.0,2016.0,0.415,13.9,0.688,0.249,0.137,0.133,0.169,0.312,0.439,0.529,0.284,0.489,0.393,0.361,0.278,0.872,0.0,0.0,0.269,0.379,0.0,0.0,
53.0,Nemanja Bjelica,31.0,SAC,PF,72.0,67.0,2011.0,0.481,15.4,0.51,0.253,0.198,0.031,0.029,0.49,0.541,0.63,0.465,0.45,0.368,0.419,0.55,0.948,0.028,18.0,0.125,0.525,0.0,0.0,
54.0,Hassan Whiteside,30.0,POR,C,67.0,61.0,2008.0,0.621,5.0,0.99,0.558,0.259,0.108,0.064,0.01,0.622,0.74,0.511,0.395,0.422,0.571,0.646,1.0,0.188,128.0,0.0,,0.0,0.0,DPOY-11
55.0,Dennis Schröder,26.0,OKC,PG,65.0,2.0,1999.0,0.469,14.8,0.663,0.227,0.121,0.174,0.141,0.337,0.513,0.639,0.444,0.44,0.456,0.385,0.357,0.84,0.003,3.0,0.105,0.529,4.0,0.0,6MOY-2
56.0,Nikola Vučević,29.0,ORL,C,62.0,62.0,1998.0,0.477,12.5,0.72,0.235,0.27,0.131,0.084,0.28,0.531,0.675,0.487,0.43,0.425,0.339,0.719,0.99,0.03,27.0,0.031,0.778,0.0,0.0,
57.0,Markelle Fultz,21.0,ORL,PG,72.0,60.0,1996.0,0.465,10.9,0.825,0.335,0.194,0.194,0.101,0.175,0.507,0.645,0.42,0.38,0.462,0.267,0.3,0.833,0.036,22.0,0.133,0.333,8.0,1.0,
58.0,Miles Bridges,21.0,CHO,SF,65.0,64.0,1995.0,0.424,12.9,0.602,0.308,0.226,0.05,0.017,0.398,0.486,0.621,0.335,0.316,0.538,0.33,0.514,0.939,0.07,47.0,0.353,0.377,4.0,0.0,
59.0,Spencer Dinwiddie,26.0,BRK,PG,64.0,49.0,1994.0,0.415,13.3,0.608,0.31,0.191,0.078,0.028,0.392,0.485,0.637,0.354,0.263,0.31,0.308,0.176,0.496,0.014,14.0,0.13,0.327,5.0,0.0,
